visit_year	sample_date	visit_month	station_name	sample_latitude_dd	sample_longitude_dd	water_depth_m	sample_id	sample_min_depth_m	sample_max_depth_m	scientific_name	species_flag_code	size_class	trophic_type	parameter	value	unit	plankton_group	taxon_kingdom	taxon_phylum	taxon_class	taxon_order	taxon_family	taxon_genus	taxon_hierarchy
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Akashiwo sanguinea		2	AU	# counted	8	ind				Dinophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Akashiwo sanguinea		2	AU	Abundance	320.0	ind/l				Dinophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Akashiwo sanguinea		2	AU	Biovolume concentration	14.36	mm3/l				Dinophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Akashiwo sanguinea		2	AU	Carbon concentration	1614.0	ugC/l				Dinophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Attheya longicornis		1	AU	# counted	1	ind				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Attheya longicornis		1	AU	Abundance	1415.0	ind/l				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Attheya longicornis		1	AU	Biovolume concentration	0.1415	mm3/l				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Attheya longicornis		1	AU	Carbon concentration	16.98	ugC/l				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Centrales		5	AU	# counted	1	ind				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Centrales		5	AU	Abundance	124.0	ind/l				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Centrales		5	AU	Biovolume concentration	0.7605	mm3/l				Bacillariophyceae				
2017	2017-01-13	01	ANHOLT E	56.66660	12.11670		Anholt E_2017-01-13_0-10m			Centrales		5	AU	Carbon concentration	42.16	ugC/l				Bacillariophyceae				
